Subject,Start Date,Start Time,End Date,End Time,All day event,Description,Location
Girls Varsity Soccer at Cleveland Heights,9/2/2026,,9/2/2026,,True,,Cleveland Heights
Girls Varsity Soccer at Pigeon Forge,9/4/2026,12:00 AM,9/4/2026,3:00 AM,False,,Pigeon Forge
Girls Varsity Soccer at Pigeon Forge,9/5/2026,12:00 AM,9/5/2026,3:00 AM,False,,Pigeon Forge
Girls Varsity Soccer at Pigeon Forge,9/6/2026,12:00 AM,9/6/2026,3:00 AM,False,,Pigeon Forge
Girls Varsity Soccer vs Mentor,9/9/2026,,9/9/2026,,True,,Strongsville
Girls Varsity Soccer at Walsh Jesuit,9/12/2026,,9/12/2026,,True,,Walsh Jesuit
Girls Varsity Soccer at Riverside,9/14/2026,,9/14/2026,,True,,Riverside
Girls Varsity Soccer at Shaker Heights,9/16/2026,,9/16/2026,,True,,Shaker Heights
Girls Varsity Soccer vs Anthony Wayne,9/19/2026,,9/19/2026,,True,,Strongsville
Girls Varsity Soccer at Lorain,9/23/2026,,9/23/2026,,True,,Lorain
Girls Varsity Soccer vs Brunswick,9/30/2026,,9/30/2026,,True,,Strongsville
Girls Varsity Soccer vs Upper Arlington,10/3/2026,,10/3/2026,,True,,Strongsville
Girls Varsity Soccer vs Euclid,10/7/2026,,10/7/2026,,True,,Strongsville
Girls Varsity Soccer at Medina,10/14/2026,,10/14/2026,,True,,Medina
Girls Varsity Soccer at Perrysburg,10/17/2026,,10/17/2026,,True,,Perrysburg
Girls JV A Soccer at GlenOak,8/17/2026,,8/17/2026,,True,,GlenOak
Girls JV A Soccer at Massillon Jackson,8/22/2026,,8/22/2026,,True,,Massillon Jackson
Girls JV A Soccer vs Magnificat,8/26/2026,,8/26/2026,,True,,Strongsville
Girls JV A Soccer at Avon,8/29/2026,,8/29/2026,,True,,Avon
Girls JV A Soccer at Cleveland Heights,9/2/2026,,9/2/2026,,True,,Cleveland Heights
Girls JV A Soccer vs Mentor,9/9/2026,,9/9/2026,,True,,Strongsville
Girls JV A Soccer at Walsh Jesuit,9/12/2026,,9/12/2026,,True,,Walsh Jesuit
Girls JV A Soccer at Shaker Heights,9/16/2026,,9/16/2026,,True,,Shaker Heights
Girls JV A Soccer vs Anthony Wayne,9/19/2026,,9/19/2026,,True,,Strongsville
Girls JV A Soccer vs Brunswick,9/30/2026,,9/30/2026,,True,,Strongsville
Girls JV A Soccer vs Upper Arlington,10/3/2026,,10/3/2026,,True,,Strongsville
Girls JV A Soccer at Medina,10/14/2026,,10/14/2026,,True,,Medina
Girls JV B Soccer at Brunswick,8/27/2026,,8/27/2026,,True,,Brunswick
Girls JV B Soccer vs Brecksville Broadview,8/31/2026,,8/31/2026,,True,,Strongsville
Girls JV B Soccer at St. Joes,9/2/2026,,9/2/2026,,True,,St. Joes
Girls JV B Soccer vs Medina,9/14/2026,,9/14/2026,,True,,Strongsville
Girls JV B Soccer vs Avon,9/19/2026,,9/19/2026,,True,,Strongsville
Girls JV B Soccer vs North Olmsted,9/29/2026,,9/29/2026,,True,,Strongsville
Girls JV B Soccer vs Brunswick,10/1/2026,,10/1/2026,,True,,Strongsville
Girls JV B Soccer vs Upper Arlington,10/3/2026,,10/3/2026,,True,,Strongsville
Girls JV B Soccer vs St. Joes,10/5/2026,,10/5/2026,,True,,Strongsville
Girls JV B Soccer vs Westlake,10/12/2026,,10/12/2026,,True,,Strongsville
Girls JV B Soccer at Medina,10/14/2026,,10/14/2026,,True,,Medina
Girls JV B Soccer at Brecksville Broadview,10/15/2026,,10/15/2026,,True,,Brecksville Broadview
Girls Varsity A Tennis at Highland,8/17/2026,,8/17/2026,,True,,Highland
Girls Varsity A Tennis at Aurora,8/27/2026,,8/27/2026,,True,,Aurora
Girls Varsity A Tennis at Mentor,8/31/2026,,8/31/2026,,True,,Mentor
Girls Varsity A Tennis at Highland Invitational,9/5/2026,,9/5/2026,,True,,Highland
Girls Varsity A Tennis at Brunswick,9/9/2026,,9/9/2026,,True,,Brunswick
Girls Varsity A Tennis at Toledo Notre Dame Academy,9/12/2026,,9/12/2026,,True,,Western Reserve Academy
Girls Varsity A Tennis at Hathaway Brown,9/12/2026,,9/12/2026,,True,,Western Reserve Academy
Girls Varsity A Tennis at Copley,9/16/2026,,9/16/2026,,True,,Copley
Girls Varsity A Tennis at GCC Tournament,9/17/2026,,9/17/2026,,True,,Shaker Heights
Girls Varsity A Tennis at Wadsworth,9/21/2026,,9/21/2026,,True,,Wadsworth
Girls Varsity A Tennis at Rocky River,9/22/2026,,9/22/2026,,True,,Rocky River
Girls Varsity A Tennis at OHSAA Sectional Tournament,9/28/2026,,9/28/2026,,True,,TBA
Girls Varsity A Tennis vs Revere,8/18/2026,,8/18/2026,,True,,Strongsville
Girls Varsity A Tennis vs Solon,8/20/2026,,8/20/2026,,True,,Strongsville
Girls Varsity A Tennis vs St. Joseph Academy,8/24/2026,,8/24/2026,,True,,Strongsville
Girls Varsity A Tennis vs Shaker Heights,8/26/2026,,8/26/2026,,True,,Strongsville
Girls Varsity A Tennis vs Riverside,9/2/2026,,9/2/2026,,True,,Strongsville
Girls Varsity A Tennis vs Medina,9/10/2026,,9/10/2026,,True,,Strongsville
Girls Varsity A Tennis vs Westlake,9/14/2026,,9/14/2026,,True,,Strongsville
Girls Varsity A Tennis vs Western Reserve Academy,9/23/2026,,9/23/2026,,True,,Strongsville
Girls Varsity B Tennis vs Highland,8/17/2026,,8/17/2026,,True,,Strongsville
Girls Varsity B Tennis vs North Olmsted,8/20/2026,,8/20/2026,,True,,Strongsville
Girls Varsity B Tennis at St. Joseph Academy,8/24/2026,,8/24/2026,,True,,Impett Park
Girls Varsity B Tennis vs Medina,8/25/2026,,8/25/2026,,True,,Strongsville
Girls Varsity B Tennis vs Aurora,8/27/2026,,8/27/2026,,True,,Strongsville
Girls Varsity B Tennis at Wadsworth,8/31/2026,,8/31/2026,,True,,Wadsworth
Girls Varsity B Tennis vs Westlake,9/1/2026,,9/1/2026,,True,,Strongsville
Girls Varsity B Tennis vs Holy Name,9/3/2026,,9/3/2026,,True,,Strongsville
Girls Varsity B Tennis at Medina Doubles Varsity B Tournament,9/5/2026,,9/5/2026,,True,,Medina High School
Girls Varsity B Tennis vs North Ridgeville,9/8/2026,,9/8/2026,,True,,Strongsville
Girls Varsity B Tennis at Brunswick,9/9/2026,,9/9/2026,,True,,Brunswick
Girls Varsity B Tennis at Medina,9/10/2026,,9/10/2026,,True,,Medina High School
Girls Varsity B Tennis vs Hathaway Brown,9/25/2026,,9/25/2026,,True,,Strongsville
Girls Varsity B Tennis at Westlake,9/16/2026,,9/16/2026,,True,,Westlake
Girls Varsity B Tennis vs Wadsworth,9/21/2026,,9/21/2026,,True,,Strongsville
Girls Varsity B Tennis at Western Reserve Academy,9/23/2026,,9/23/2026,,True,,Western Reserve Academy
Girls Varsity B Tennis vs Holy Name,9/24/2026,,9/24/2026,,True,,Strongsville
Girls Varsity B Tennis at Avon Varsity B Tournament,9/26/2026,,9/26/2026,,True,,Avon High School
Girls JV Tennis at Highland,8/17/2026,,8/17/2026,,True,,Highland
Girls JV Tennis at Revere,8/18/2026,,8/18/2026,,True,,Revere
Girls JV Tennis at North Olmsted,8/20/2026,,8/20/2026,,True,,North Olmsted
Girls JV Tennis at Medina JV Doubles Tournament,8/22/2026,,8/22/2026,,True,,Medina High School
Girls JV Tennis vs St. Joseph Academy,8/24/2026,,8/24/2026,,True,,Strongsville
Girls JV Tennis at Medina,8/25/2026,,8/25/2026,,True,,Medina High School
Girls JV Tennis at Shaker Heights,8/26/2026,,8/26/2026,,True,,Shaker Heights
Girls JV Tennis at JV GCC Tournament,8/27/2026,,8/27/2026,,True,,Shaker Heights
Girls JV Tennis vs Mentor,8/31/2026,,8/31/2026,,True,,Strongsville
Girls JV Tennis at Riverside,9/2/2026,,9/2/2026,,True,,Riverside
Girls JV Tennis vs Brunswick,9/9/2026,,9/9/2026,,True,,Strongsville
Girls JV Tennis at Medina,9/10/2026,,9/10/2026,,True,,Medina High School
Girls JV Tennis at Westlake,9/14/2026,,9/14/2026,,True,,Westlake
Girls JV Tennis vs Copley,9/16/2026,,9/16/2026,,True,,Strongsville
Girls JV Tennis at North Ridgeville,9/17/2026,,9/17/2026,,True,,North Ridgeville
Girls JV Tennis vs Wadsworth,9/21/2026,,9/21/2026,,True,,Strongsville
Girls JV Tennis vs Rocky River,9/22/2026,,9/22/2026,,True,,Strongsville
Girls JV Tennis at Western Reserve Academy,9/23/2026,,9/23/2026,,True,,Western Reserve Academy
Girls Varsity Volleyball at North Royalton/Lakewood,8/22/2026,,8/22/2026,,True,,North Royalton
Girls Varsity Volleyball vs Hoban,8/25/2026,,8/25/2026,,True,,Strongsville
Girls Varsity Volleyball at Padua,8/27/2026,,8/27/2026,,True,,Padua
Girls Varsity Volleyball at Western Reserve Academy,9/1/2026,,9/1/2026,,True,,Western Reserve Academy
Girls Varsity Volleyball at Walsh,9/3/2026,,9/3/2026,,True,,Walsh
Girls Varsity Volleyball vs Avon Lake,9/8/2026,,9/8/2026,,True,,Strongsville
Girls Varsity Volleyball vs Riverside,9/10/2026,,9/10/2026,,True,,Strongsville
Girls Varsity Volleyball vs Brunswick,9/15/2026,,9/15/2026,,True,,Strongsville
Girls Varsity Volleyball at Shaker Heights,9/17/2026,,9/17/2026,,True,,Shaker Heights
Girls Varsity Volleyball at Jackson Tournament,9/19/2026,,9/19/2026,,True,,Jackson Middle School
Girls Varsity Volleyball vs Lorain,9/22/2026,,9/22/2026,,True,,Strongsville
Girls Varsity Volleyball vs Western Reserve Academy,9/24/2026,,9/24/2026,,True,,Strongsville
Girls Varsity Volleyball at Mentor,9/29/2026,,9/29/2026,,True,,Mentor
Girls Varsity Volleyball at Riverside,10/1/2026,,10/1/2026,,True,,Riverside
Girls Varsity Volleyball vs Cleveland Heights,10/6/2026,,10/6/2026,,True,,Strongsville
Girls Varsity Volleyball vs Rocky River,10/8/2026,,10/8/2026,,True,,Strongsville
Girls Varsity Volleyball at Euclid,10/13/2026,,10/13/2026,,True,,Euclid
Girls Varsity Volleyball at Brunswick,10/15/2026,,10/15/2026,,True,,Brunswick
Girls Varsity Volleyball vs Mentor,10/20/2026,,10/20/2026,,True,,Strongsville
Girls JV Volleyball at Highland/Beaumont,8/22/2026,,8/22/2026,,True,,Highland
Girls JV Volleyball vs North Royalton/Lakewood,8/25/2026,,8/25/2026,,True,,Strongsville
Girls JV Volleyball vs Hoban,8/25/2026,,8/25/2026,,True,,Strongsville
Girls JV Volleyball at Padua,8/27/2026,,8/27/2026,,True,,Padua
Girls JV Volleyball at St. Joseph Academy,9/1/2026,12:00 AM,9/1/2026,3:00 AM,False,,St. Joseph Academy
Girls JV Volleyball vs Avon Lake,9/8/2026,,9/8/2026,,True,,Strongsville
Girls JV Volleyball vs Riverside,9/10/2026,,9/10/2026,,True,,Strongsville
Girls JV Volleyball vs Brunswick,9/15/2026,,9/15/2026,,True,,Strongsville
Girls JV Volleyball at Shaker Heights,9/17/2026,,9/17/2026,,True,,Shaker Heights
Girls JV Volleyball at Jackson Tournament,9/19/2026,12:00 AM,9/19/2026,3:00 AM,False,,Jackson Middle School
Girls JV Volleyball vs Lorain,9/22/2026,,9/22/2026,,True,,Strongsville
Girls JV Volleyball vs Western Reserve Academy,9/24/2026,,9/24/2026,,True,,Strongsville
Girls JV Volleyball at Mentor,9/29/2026,,9/29/2026,,True,,Mentor
Girls JV Volleyball at Riverside,10/1/2026,,10/1/2026,,True,,Riverside
Girls JV Volleyball vs Cleveland Heights,10/6/2026,,10/6/2026,,True,,Strongsville
Girls JV Volleyball vs Rocky River,10/8/2026,,10/8/2026,,True,,Strongsville
Girls JV Volleyball at Euclid,10/13/2026,,10/13/2026,,True,,Euclid
Girls JV Volleyball at Brunswick,10/15/2026,,10/15/2026,,True,,Brunswick
Girls JV Volleyball vs Mentor,10/20/2026,,10/20/2026,,True,,Strongsville
Girls Freshman Volleyball vs North Royalton/Lakewood,8/22/2026,,8/22/2026,,True,,Strongsville
Girls Freshman Volleyball vs Hoban,8/25/2026,,8/25/2026,,True,,Strongsville
Girls Freshman Volleyball at Padua,8/27/2026,,8/27/2026,,True,,Padua
Girls Freshman Volleyball at St. Joseph Academy,9/1/2026,12:00 AM,9/1/2026,3:00 AM,False,,St. Joseph Academy
Girls Freshman Volleyball vs Avon Lake,9/8/2026,,9/8/2026,,True,,Strongsville
Girls Freshman Volleyball vs Riverside,9/10/2026,,9/10/2026,,True,,Strongsville
Girls Freshman Volleyball vs Brunswick,9/15/2026,,9/15/2026,,True,,Strongsville
Girls Freshman Volleyball at Shaker Heights,9/17/2026,,9/17/2026,,True,,Shaker Heights
Girls Freshman Volleyball vs Lorain,9/22/2026,,9/22/2026,,True,,Strongsville
Girls Freshman Volleyball vs Western Reserve Academy,9/24/2026,,9/24/2026,,True,,Strongsville
Girls Freshman Volleyball at Mentor,9/29/2026,,9/29/2026,,True,,Mentor
Girls Freshman Volleyball at Riverside,10/1/2026,,10/1/2026,,True,,Riverside
Girls Freshman Volleyball vs Cleveland Heights,10/6/2026,,10/6/2026,,True,,Strongsville
Girls Freshman Volleyball vs Rocky River,10/8/2026,,10/8/2026,,True,,Strongsville
Girls Freshman Volleyball at Euclid,10/13/2026,,10/13/2026,,True,,Euclid
Girls Freshman Volleyball at Brunswick,10/15/2026,,10/15/2026,,True,,Brunswick
Girls Freshman Volleyball vs Mentor,10/20/2026,,10/20/2026,,True,,Strongsville
Girls 8th Green Volleyball at Berea - Midpark,8/18/2026,,8/18/2026,,True,,- Midpark MS
Girls 8th Green Volleyball vs North Olmsted,8/20/2026,,8/20/2026,,True,,Strongsville
Girls 8th Green Volleyball at Jackson Tourn.,8/22/2026,,8/22/2026,,True,,Jackson Memorial MS
Girls 8th Green Volleyball at Brunswick MS - White,8/25/2026,,8/25/2026,,True,,Brunswick MS
Girls 8th Green Volleyball at Lorain Middle - Southview,8/27/2026,,8/27/2026,,True,,Lorain Middle - Southview
Girls 8th Green Volleyball vs BNorth Royalton - Aack gym,9/1/2026,,9/1/2026,,True,,Strongsville
Girls 8th Green Volleyball vs Lorain Middle,9/3/2026,,9/3/2026,,True,,Strongsville
Girls 8th Green Volleyball at Brunswick MS - Blue,9/8/2026,,9/8/2026,,True,,Brunswick MS
Girls 8th Green Volleyball at Keystone,9/10/2026,,9/10/2026,,True,,Keystone MS
Girls 8th Green Volleyball at North Royalton MS - B,9/15/2026,,9/15/2026,,True,,North Royalton MS
Girls 8th Green Volleyball vs Front gym,9/17/2026,,9/17/2026,,True,,Strongsville
Girls 8th Green Volleyball vs Medina Root,9/21/2026,,9/21/2026,,True,,Strongsville
Girls 8th Green Volleyball at Olmsted Falls MS,9/29/2026,,9/29/2026,,True,,Olmsted Falls MS
Girls 8th Green Volleyball vs Brunswick Blue - B,10/1/2026,,10/1/2026,,True,,Strongsville
Girls 8th White Volleyball at North Royalton HS - B,8/18/2026,,8/18/2026,,True,,North Royalton HS
Girls 8th White Volleyball vs Medina Highland,8/20/2026,,8/20/2026,,True,,Strongsville
Girls 8th White Volleyball at Brunswick MS Blue,8/25/2026,,8/25/2026,,True,,Brunswick MS
Girls 8th White Volleyball at Avon/Amherst,8/27/2026,,8/27/2026,,True,,Amherst
Girls 8th White Volleyball vs North Royalton- A,9/1/2026,,9/1/2026,,True,,Strongsville
Girls 8th White Volleyball at Brunswick MS White,9/3/2026,,9/3/2026,,True,,Brunswick MS
Girls 8th White Volleyball vs Lorain Middle,9/8/2026,,9/8/2026,,True,,Strongsville
Girls 8th White Volleyball at Lorain Middle,9/10/2026,,9/10/2026,,True,,Southview
Girls 8th White Volleyball vs Olmsted Falls,9/15/2026,,9/15/2026,,True,,Strongsville
Girls 8th White Volleyball vs Brunswick Blue - B,9/17/2026,,9/17/2026,,True,,Strongsville
Girls 8th White Volleyball at Open Door Christian School,9/21/2026,,9/21/2026,,True,,Open Door Christian School
Girls 8th White Volleyball at Medina Root,9/22/2026,,9/22/2026,,True,,Medina Root
Girls 8th White Volleyball vs Brunswick White - A,9/29/2026,,9/29/2026,,True,,Strongsville
Girls 8th White Volleyball at Lorain Middle,10/1/2026,,10/1/2026,,True,,Southview
Girls 7th Green Volleyball at Berea - Midpark,8/18/2026,,8/18/2026,,True,,- Midpark MS
Girls 7th Green Volleyball vs North Olmsted,8/20/2026,,8/20/2026,,True,,Strongsville
Girls 7th Green Volleyball at Jackson Tourn.,8/22/2026,,8/22/2026,,True,,Jackson Memorial MS
Girls 7th Green Volleyball at Brunswick MS - White,8/25/2026,,8/25/2026,,True,,Brunswick MS
Girls 7th Green Volleyball at Lorain Middle - Southview,8/27/2026,,8/27/2026,,True,,Lorain Middle - Southview
Girls 7th Green Volleyball vs BNorth Royalton - Aack gym,9/1/2026,,9/1/2026,,True,,Strongsville
Girls 7th Green Volleyball vs Lorain Middle,9/3/2026,,9/3/2026,,True,,Strongsville
Girls 7th Green Volleyball at Brunswick MS - Blue,9/8/2026,,9/8/2026,,True,,Brunswick MS
Girls 7th Green Volleyball at Keystone,9/10/2026,,9/10/2026,,True,,Keystone MS
Girls 7th Green Volleyball at North Royalton MS - B,9/15/2026,,9/15/2026,,True,,North Royalton MS
Girls 7th Green Volleyball vs Front gym,9/17/2026,,9/17/2026,,True,,Strongsville
Girls 7th Green Volleyball vs Medina Root,9/21/2026,,9/21/2026,,True,,Strongsville
Girls 7th Green Volleyball at Olmsted Falls MS,9/29/2026,,9/29/2026,,True,,Olmsted Falls MS
Girls 7th Green Volleyball vs Brunswick Blue - B,10/1/2026,,10/1/2026,,True,,Strongsville
Girls 7th White Volleyball at North Royalton HS - B,8/18/2026,,8/18/2026,,True,,North Royalton HS
Girls 7th White Volleyball vs Medina Highland,8/20/2026,,8/20/2026,,True,,Strongsville
Girls 7th White Volleyball at Brunswick MS Blue,8/25/2026,,8/25/2026,,True,,Brunswick MS
Girls 7th White Volleyball at Avon/Amherst,8/27/2026,,8/27/2026,,True,,Amherst
Girls 7th White Volleyball vs North Royalton- A,9/1/2026,,9/1/2026,,True,,Strongsville
Girls 7th White Volleyball at Brunswick MS White,9/3/2026,,9/3/2026,,True,,Brunswick MS
Girls 7th White Volleyball vs Lorain Middle,9/8/2026,,9/8/2026,,True,,Strongsville
Girls 7th White Volleyball at Lorain Middle,9/10/2026,,9/10/2026,,True,,Southview
Girls 7th White Volleyball vs Olmsted Falls,9/15/2026,,9/15/2026,,True,,Strongsville
Girls 7th White Volleyball vs Brunswick Blue - B,9/17/2026,,9/17/2026,,True,,Strongsville
Girls 7th White Volleyball at Open Door Christian School,9/21/2026,,9/21/2026,,True,,Open Door Christian School
Girls 7th White Volleyball at Medina Root,9/22/2026,,9/22/2026,,True,,Medina Root
Girls 7th White Volleyball vs Brunswick White - A,9/29/2026,,9/29/2026,,True,,Strongsville
Girls 7th White Volleyball at Lorain Middle,10/1/2026,,10/1/2026,,True,,Southview
Girls Varsity football Cheer at Avon Lake,8/21/2026,,8/21/2026,,True,,Avon Lake
Girls Varsity football Cheer vs Highland,8/28/2026,,8/28/2026,,True,,Strongsville
Girls Varsity football Cheer vs TBA,9/1/2026,,9/1/2026,,True,,Strongsville
Girls Varsity football Cheer at Olmsted Falls,9/4/2026,,9/4/2026,,True,,Olmsted Falls
Girls Varsity football Cheer vs Cleveland Heights,9/11/2026,,9/11/2026,,True,,Strongsville
Girls Varsity football Cheer at Euclid,9/18/2026,,9/18/2026,,True,,Euclid
Girls Varsity football Cheer at Painesville Riverside,9/25/2026,,9/25/2026,,True,,Painesville Riverside
Girls Varsity football Cheer vs Mentor,10/2/2026,,10/2/2026,,True,,Strongsville
Girls Varsity football Cheer vs Lorain,10/9/2026,,10/9/2026,,True,,Strongsville
Girls Varsity football Cheer at Shaker Heights,10/16/2026,,10/16/2026,,True,,Shaker Heights
Girls Varsity football Cheer vs Brunswick,10/23/2026,,10/23/2026,,True,,Strongsville
Girls JV Football Cheer vs Avon Lake,8/22/2026,,8/22/2026,,True,,Strongsville
Girls JV Football Cheer at Highland,8/29/2026,,8/29/2026,,True,,Highland
Girls JV Football Cheer vs Olmsted Falls,9/5/2026,,9/5/2026,,True,,Strongsville
Girls JV Football Cheer at Cleveland Heights,9/12/2026,,9/12/2026,,True,,Cleveland Heights
Girls JV Football Cheer vs Euclid,9/19/2026,,9/19/2026,,True,,Strongsville
Girls JV Football Cheer vs Painesville Riverside,9/26/2026,,9/26/2026,,True,,Strongsville
Girls JV Football Cheer at Mentor,10/3/2026,,10/3/2026,,True,,Mentor
Girls JV Football Cheer at Lorain,10/10/2026,,10/10/2026,,True,,Lorain
Girls JV Football Cheer vs Shaker Heights,10/17/2026,,10/17/2026,,True,,Strongsville
Girls JV Football Cheer at Brunswick,10/24/2026,,10/24/2026,,True,,Brunswick
Girls 9th Football Cheer vs Avon Lake,8/20/2026,,8/20/2026,,True,,Strongsville
Girls 9th Football Cheer at Highland,8/27/2026,,8/27/2026,,True,,Highland
Girls 9th Football Cheer vs Olmsted Falls,9/3/2026,,9/3/2026,,True,,Strongsville
Girls 9th Football Cheer vs Benedictine,9/10/2026,,9/10/2026,,True,,Strongsville
Girls 9th Football Cheer vs Euclid,9/17/2026,,9/17/2026,,True,,Strongsville
Girls 9th Football Cheer vs Painesville Riverside,9/24/2026,,9/24/2026,,True,,Strongsville
Girls 9th Football Cheer at Mentor,10/1/2026,,10/1/2026,,True,,Mentor
Girls 9th Football Cheer at Lorain,10/8/2026,,10/8/2026,,True,,Lorain
Girls 9th Football Cheer vs Shaker Heights,10/15/2026,,10/15/2026,,True,,Strongsville
Girls 9th Football Cheer at Brunswick,10/22/2026,,10/22/2026,,True,,Brunswick
